1;1972;
2;1972;
3;1972;
4;1972;
5;1972;
6;1972;
7;1972;
8;1972;
9;1972;
10;1972;
11;1972;
12;1972;
13;1972;
14;1972;
15;1972;
16;1972;
17;1972;
18;1972;
19;1972;
20;1972;
21;1972;
22;1972;
23;1972;
24;1972;
25;1972;
26;1972;
27;1972;
28;1972;
29;1972;
30;1972;
31;1972;
32;1972;
33;1972;
34;1972;
1;1972;
2;1972;
3;1972;
4;1972;
5;1972;
6;1972;
7;1972;
8;1972;
9;1972;
10;1972;
11;1972;
12;1972;
13;1972;
14;1972;
15;1972;
16;1972;
17;1972;
18;1972;
19;1972;
20;1972;
21;1972;
22;1972;
23;1972;
24;1972;
25;1972;
26;1972;
27;1972;
28;1972;
29;1972;
30;1972;
31;1972;
32;1972;
33;1972;
34;1972;
35;1972;
36;1972;
37;1972;
38;1972;
1;1973;
2;1973;
3;1973;
4;1973;
5;1973;
6;1973;
7;1973;
8;1973;
9;1973;
10;1973;
11;1973;
12;1973;
13;1973;
14;1973;
15;1973;
16;1973;
17;1973;
18;1973;
19;1973;
20;1973;
21;1973;
22;1973;
23;1973;
24;1973;
25;1973;
26;1973;
27;1973;
28;1973;
29;1973;
30;1973;
31;1973;
32;1973;
33;1973;
34;1973;
1;1973;
2;1973;
3;1973;
4;1973;
5;1973;
6;1973;
7;1973;
8;1973;
9;1973;
10;1973;
11;1973;
12;1973;
13;1973;
14;1973;
15;1973;
16;1973;
17;1973;
18;1973;
19;1973;
20;1973;
21;1973;
22;1973;
23;1973;
24;1973;
25;1973;
26;1973;
27;1973;
28;1973;
29;1973;
30;1973;
31;1973;
32;1973;
33;1973;
34;1973;
35;1973;
36;1973;
37;1973;
38;1973;
1;1974;
2;1974;
3;1974;
4;1974;
5;1974;
6;1974;
7;1974;
8;1974;
9;1974;
10;1974;
11;1974;
12;1974;
13;1974;
14;1974;
15;1974;
16;1974;
17;1974;
18;1974;
19;1974;
20;1974;
21;1974;
22;1974;
23;1974;
24;1974;
25;1974;
26;1974;
27;1974;
28;1974;
29;1974;
30;1974;
31;1974;
32;1974;
33;1974;
34;1974;
1;1974;
2;1974;
3;1974;
4;1974;
5;1974;
6;1974;
7;1974;
8;1974;
9;1974;
10;1974;
11;1974;
12;1974;
13;1974;
14;1974;
15;1974;
16;1974;
17;1974;
18;1974;
19;1974;
20;1974;
21;1974;
22;1974;
23;1974;
24;1974;
25;1974;
26;1974;
27;1974;
28;1974;
29;1974;
30;1974;
31;1974;
32;1974;
33;1974;
34;1974;
35;1974;
36;1974;
37;1974;
38;1974;
1;1975;
2;1975;
3;1975;
4;1975;
5;1975;
6;1975;
7;1975;
8;1975;
9;1975;
10;1975;
11;1975;
12;1975;
13;1975;
14;1975;
15;1975;
16;1975;
17;1975;
18;1975;
19;1975;
20;1975;
21;1975;
22;1975;
23;1975;
24;1975;
25;1975;
26;1975;
27;1975;
28;1975;
29;1975;
30;1975;
31;1975;
32;1975;
33;1975;
34;1975;
1;1975;
2;1975;
3;1975;
4;1975;
5;1975;
6;1975;
7;1975;
8;1975;
9;1975;
10;1975;
11;1975;
12;1975;
13;1975;
14;1975;
15;1975;
16;1975;
17;1975;
18;1975;
19;1975;
20;1975;
21;1975;
22;1975;
23;1975;
24;1975;
25;1975;
26;1975;
27;1975;
28;1975;
29;1975;
30;1975;
31;1975;
32;1975;
